Report Date:,04/08/2023 12:11:29
Report User Name:,s0678844
Report Computer Name:,SCE-CHEM-C01300
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,Wag_Res_1_tea_2023-08-04_12-11-21-667.wsl
Create Date,04/08/2023 12:11:19

Device Properties
Device,Rugged TROLL 100
Site,Langwell
Device Name, 
Serial Number,919950
Firmware Version,1.06
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Wag_Res_1_tea
,Created By,s0678844
,Computer Name,SCE-CHEM-C01300
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,02/08/2022 23:20:10 GMT Daylight Time
,Log Setup Time Zone,GMT Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,03/08/2022 22:00:00 GMT Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,                Level Reminder:,Enabled
,          Level Reference Mode:,Unknown
,         Level Reference Value:,3.40282e+38 (mm)
, Level Reference Head Pressure,0 (mmHg)


Other Log Settings
,Depth of Probe:,10005 (mm)
,Head Pressure:,735.193 (mmHg)
,Temperature:,25.6001 (C)



Log Notes:
Date and Time,Note
02/08/2022 23:20:22,Used Battery: 0% Used Memory: 3%   User Name: s0678844
03/08/2022 13:45:46,Sensor SN: 919950 Level calibration.
,Set new reference: 415
,Depth: 9918.85(mm)
,Level Reference Head Pressure: 728.86(mmHg)
,Pressure Offset: 0(mmHg)
,Temperature: 18.8742(C)
,User Name: s0678844
04/08/2023 12:07:40,Log Download - Used Battery: 7% Used Memory: 9%   User Name: s0678844


Log Data:
Record Count,8775

Sensors,1

 ,1,919950,Pressure/Temp PSIA (9m/30ft)

Time Zone: GMT Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 919950                             ,SN#: 919950                             ,SN#: 919950                             ,
09/08/2022 06:00:00,  460800.000,                                 806.831,                                  10.863,                                -646.075,
09/08/2022 07:00:00,  464400.000,                                 806.994,                                  10.863,                                -648.294,
09/08/2022 08:00:00,  468000.000,                                 807.116,                                  10.863,                                -649.961,
09/08/2022 09:00:00,  471600.000,                                 806.903,                                  10.811,                                -647.063,
09/08/2022 10:00:00,  475200.000,                                 807.320,                                  10.863,                                -652.738,
09/08/2022 11:00:00,  478800.000,                                 806.953,                                  10.863,                                -647.740,
09/08/2022 12:00:00,  482400.000,                                 807.026,                                  10.811,                                -648.732,
09/08/2022 13:00:00,  486000.000,                                 806.790,                                  10.863,                                -645.521,
09/08/2022 14:00:00,  489600.000,                                 807.148,                                  10.811,                                -650.396,
09/08/2022 15:00:00,  493200.000,                                 806.912,                                  10.863,                                -647.185,
09/08/2022 16:00:00,  496800.000,                                 806.790,                                  10.863,                                -645.521,
09/08/2022 17:00:00,  500400.000,                                 806.626,                                  10.863,                                -643.299,
09/08/2022 18:00:00,  504000.000,                                 806.463,                                  10.863,                                -641.078,
09/08/2022 19:00:00,  507600.000,                                 806.422,                                  10.863,                                -640.522,
09/08/2022 20:00:00,  511200.000,                                 806.504,                                  10.863,                                -641.634,
09/08/2022 21:00:00,  514800.000,                                 806.373,                                  10.811,                                -639.848,
09/08/2022 22:00:00,  518400.000,                                 806.096,                                  10.863,                                -636.082,
09/08/2022 23:00:00,  522000.000,                                 806.178,                                  10.863,                                -637.192,
10/08/2022 00:00:00,  525600.000,                                 806.087,                                  10.811,                                -635.962,
10/08/2022 01:00:00,  529200.000,                                 805.566,                                  10.863,                                -628.863,
10/08/2022 02:00:00,  532800.000,                                 805.239,                                  10.863,                                -624.420,
10/08/2022 03:00:00,  536400.000,                                 805.035,                                  10.863,                                -621.647,
10/08/2022 04:00:00,  540000.000,                                 805.117,                                  10.863,                                -622.756,
10/08/2022 05:00:00,  543600.000,                                 804.179,                                  10.863,                                -609.986,
10/08/2022 06:00:00,  547200.000,                                 803.852,                                  10.863,                                -605.545,
10/08/2022 07:00:00,  550800.000,                                 803.730,                                  10.863,                                -603.880,
10/08/2022 08:00:00,  554400.000,                                 803.689,                                  10.863,                                -603.326,
10/08/2022 09:00:00,  558000.000,                                 803.689,                                  10.863,                                -603.326,
10/08/2022 10:00:00,  561600.000,                                 803.363,                                  10.863,                                -598.885,
10/08/2022 11:00:00,  565200.000,                                 802.873,                                  10.863,                                -592.222,
10/08/2022 12:00:00,  568800.000,                                 802.832,                                  10.863,                                -591.665,
10/08/2022 13:00:00,  572400.000,                                 802.710,                                  10.863,                                -590.000,
10/08/2022 14:00:00,  576000.000,                                 802.873,                                  10.863,                                -592.222,
10/08/2022 15:00:00,  579600.000,                                 802.506,                                  10.863,                                -587.225,
10/08/2022 16:00:00,  583200.000,                                 802.669,                                  10.863,                                -589.445,
10/08/2022 17:00:00,  586800.000,                                 802.669,                                  10.863,                                -589.445,
10/08/2022 18:00:00,  590400.000,                                 802.506,                                  10.863,                                -587.225,
10/08/2022 19:00:00,  594000.000,                                 802.302,                                  10.863,                                -584.449,
10/08/2022 20:00:00,  597600.000,                                 802.792,                                  10.863,                                -591.112,
10/08/2022 21:00:00,  601200.000,                                 802.751,                                  10.863,                                -590.557,
10/08/2022 22:00:00,  604800.000,                                 802.955,                                  10.863,                                -593.332,
10/08/2022 23:00:00,  608400.000,                                 802.424,                                  10.863,                                -586.113,
11/08/2022 00:00:00,  612000.000,                                 802.506,                                  10.863,                                -587.225,
11/08/2022 01:00:00,  615600.000,                                 802.261,                                  10.863,                                -583.893,
11/08/2022 02:00:00,  619200.000,                                 802.220,                                  10.863,                                -583.337,
11/08/2022 03:00:00,  622800.000,                                 802.057,                                  10.863,                                -581.117,
11/08/2022 04:00:00,  626400.000,                                 801.690,                                  10.863,                                -576.121,
11/08/2022 05:00:00,  630000.000,                                 801.527,                                  10.863,                                -573.897,
11/08/2022 06:00:00,  633600.000,                                 801.576,                                  10.916,                                -574.574,
11/08/2022 07:00:00,  637200.000,                                 801.355,                                  10.811,                                -571.559,
11/08/2022 08:00:00,  640800.000,                                 801.372,                                  10.916,                                -571.798,
11/08/2022 09:00:00,  644400.000,                                 801.241,                                  10.863,                                -570.015,
11/08/2022 10:00:00,  648000.000,                                 801.282,                                  10.863,                                -570.568,
11/08/2022 11:00:00,  651600.000,                                 800.996,                                  10.863,                                -566.682,
11/08/2022 12:00:00,  655200.000,                                 800.956,                                  10.863,                                -566.128,
11/08/2022 13:00:00,  658800.000,                                 800.915,                                  10.863,                                -565.571,
11/08/2022 14:00:00,  662400.000,                                 800.874,                                  10.863,                                -565.017,
11/08/2022 15:00:00,  666000.000,                                 801.037,                                  10.863,                                -567.237,
